1838647767,Quantum Computing and Blockchain in Business
1838981950,"Django 3 By Example,"
1838828869,Cybersecurity Attacks – Red Team Strategies
1838821562,Hands-On Kubernetes on Windows
1838643419,Mastering Windows Presentation Foundation.
1789615798,Mastering Service Mesh
1838643818,Extending Microsoft Dynamics 365 Finance and Supply Chain Management Cookbook
1838822836,Mastering WooCommerce 4
1789801788,Hands-On Machine Learning with ML.NET
1789617944,Hands-On Microservices with C# 8 and .NET Core 3
1789537258,Hands-On Exploratory Data Analysis with Python
1838987428,Django 3 Web Development Cookbook
1789805783,Hands-On High Performance with Go
1838986502,WordPress 5 Cookbook
1838645640,Solutions Architect's Handbook
1838644830,PyTorch Computer Vision Cookbook
1789801818,OpenCV 4 with Python Blueprints
1839217073,DAX Cookbook
1838828044,Kubernetes - A Complete DevOps Cookbook
1838827471,Learn Docker - Fundamentals of Docker 19.x
1838556877,Implementing Microsoft Dynamics 365 Customer Engagement
1789538467,Hands-On Artificial Intelligence on Google Cloud Platform
1839214805,IoT and Edge Computing for Architects
1789950848,Implementing Microsoft Dynamics 365 for Finance and Operations Apps
1789530881,Hands-On Swift 5 Microservices Development
1838821090,Hands-On JavaScript High Performance
1839211539,Artificial Intelligence By Example.
1838821651,Advanced Deep Learning with TensorFlow 2 and Keras
1800207719,Practical PowerShell Office 365: Exchange Online
1838643575,Hands-On RESTful Web Services with Go
183921757X,The Deep Learning with Keras Workshop
1800205953,Practical PowerShell Security and Compliance Center
1789613175,Hands-On Deep Learning for Finance
1838557040,PyTorch Artificial Intelligence Fundamentals
1800204094,Practical PowerShell Exchange Server 2016
1800209045,The Supervised Learning Workshop
1838981489,The Data Visualization Workshop
1800203675,The Applied SQL Data Analytics Workshop
1789950155,Learning RxJava.
1838826254,AWS Security Cookbook
1839213108,Pandas 1.x Cookbook
1838551301,Hands-On ROS for Robotics Programming
1838984852,PostgreSQL 12 High Availability Cookbook
1839216999,"Cyber Warfare – Truth, Tactics, and Strategies"
1838982175,Microsoft 365 Certified Fundamentals MS-900 Exam Guide
1838646558,C++ System Programming Cookbook
1838983988,SAP on Azure Implementation Guide
1789805678,Deep Learning with R Cookbook
1838981772,Mastering Linux Security and Hardening
1789531616,Learning OpenCV 4 Computer Vision with Python 3
1839215526,Hands-On Linux Administration on Azure
